epoch;acc;loss;top_k_categorical_accuracy;val_acc;val_loss;val_top_k_categorical_accuracy
0;0.371559999961853;4.114696074371338;0.8573200000190735;0.2713;4.358001293182373;0.7889
1;0.5294599999809265;3.6791486533355715;0.9417599999809265;0.4732;3.8345895378112793;0.9232
2;0.611700000038147;3.4351560675048827;0.96236;0.5264;3.657314677810669;0.9438
3;0.6698599999618531;3.246458790283203;0.97244;0.623;3.374126132965088;0.963
4;0.71196;3.1024676823425295;0.97928;0.6471;3.2852331531524657;0.9703
5;0.745720000038147;2.9721877489471438;0.98396;0.6933;3.146166120147705;0.9773
6;0.7710000000190735;2.871761288833618;0.98714;0.733;2.9529577728271486;0.9837
7;0.794099999961853;2.775257090148926;0.98952;0.7684;2.842245170593262;0.9846
8;0.81174;2.68697193901062;0.99154;0.7714;2.796709462738037;0.9868
9;0.826960000038147;2.611549152832031;0.9929;0.7818;2.740341276550293;0.9861
10;0.8391599999809265;2.5463565887451174;0.9935200000190735;0.7635;2.787441855621338;0.983
11;0.849100000038147;2.481504773864746;0.99442;0.801;2.627604256439209;0.9883
12;0.8639600000190735;2.412860049819946;0.99456;0.7962;2.628904065322876;0.989
13;0.8702000000190735;2.360517350921631;0.9960200000190735;0.7773;2.7049864685058593;0.9834
14;0.8787;2.3022149184417726;0.9964600000190735;0.8163;2.5021616119384764;0.991
15;0.88494;2.255858615570068;0.99676;0.8063;2.4911886562347414;0.9887
16;0.89222;2.2027724697113036;0.99726;0.8003;2.491879370880127;0.991
17;0.89946;2.1558736480712892;0.99758;0.7905;2.5194532428741456;0.9882
18;0.9052800000190735;2.1056272110748293;0.99802;0.825;2.37783673248291;0.9892
19;0.9112399999809265;2.0626675844573974;0.99824;0.7895;2.514938171386719;0.9868
20;0.9152599999809266;2.0222195533370972;0.99826;0.8344;2.2831226470947263;0.992
21;0.9219599999618531;1.9776668320465087;0.99872;0.8006;2.4078596141815187;0.9911
22;0.9248399999809265;1.9419517892837523;0.99862;0.8243;2.278780323410034;0.9917
23;0.9273999999618531;1.904387793045044;0.99898;0.8417;2.227810432052612;0.9904
24;0.931;1.8673664647293091;0.99908;0.8401;2.1817143222808837;0.9917
25;0.9367200000381469;1.8251285622406006;0.99924;0.8187;2.2724689571380616;0.9918
26;0.9393799999618531;1.792064143371582;0.99932;0.8361;2.185725590515137;0.9878
27;0.943740000038147;1.757971082687378;0.99936;0.848;2.103226811981201;0.9926
28;0.9464800000190735;1.7236859964370728;0.99944;0.8242;2.1926186429977417;0.9918
29;0.949760000038147;1.6931554566955567;0.99966;0.8402;2.057224910926819;0.9932
