epoch;acc;loss;top_k_categorical_accuracy;val_acc;val_loss;val_top_k_categorical_accuracy
0;0.09876000000476837;5.644945346984863;0.2997199999809265;0.01;16.827332315063476;0.9997
1;0.17472000000953675;4.1910883647155766;0.44430000000953673;0.124;4.406211586761475;0.3373
2;0.23628000000953675;3.7229899147796632;0.53562;0.0873;4.704045561218262;0.289
3;0.30233999999046324;3.5160765979003905;0.6229999999809265;0.2272;4.044151552963257;0.5153
4;0.3572199999809265;3.379285461578369;0.6860799999809265;0.0415;6.657028503417969;0.2051
5;0.39360000001907347;3.2893902668762207;0.723559999961853;0.2886;3.8902319885253904;0.6026
6;0.4169799999809265;3.2496162199401857;0.7462799999809265;0.292;3.919394428253174;0.6009
7;0.43624;3.2172179598999024;0.757940000038147;0.2974;3.921586636352539;0.606
8;0.4471999999904633;3.19097666305542;0.7707600000381469;0.286;4.0684074234008785;0.5771
9;0.45754000001907347;3.1562957711791992;0.7821799999809265;0.2869;4.200044440078735;0.6056
10;0.46369999998092654;3.134451347351074;0.78516;0.2879;4.13246360168457;0.5954
11;0.46907999999046324;3.113747303466797;0.7906200000381469;0.3132;3.959114691925049;0.6198
12;0.4749600000190735;3.083984035873413;0.7953599999809265;0.3376;3.8245277503967285;0.6425
13;0.47842;3.0691398379516603;0.798660000038147;0.3569;3.735216495513916;0.6663
14;0.4825799999809265;3.0483751042938234;0.799439999961853;0.2927;3.9481111137390137;0.6238
15;0.48678000000953675;3.0268388049316406;0.8028399999618531;0.3202;3.836636505126953;0.6273
16;0.4903200000190735;3.017544242553711;0.8050999999809265;0.3431;3.799584546661377;0.6517
17;0.49076000000953673;3.0007025021362304;0.807699999961853;0.2437;4.4544250122070315;0.5265
18;0.49528000000953676;2.989693734741211;0.808980000038147;0.4324;3.247621726226807;0.7508
19;0.49700000001907346;2.9626226359558108;0.8115000000381469;0.3398;3.7816878288269042;0.6576
20;0.4995999999809265;2.9612058979797364;0.81172;0.2495;4.2872974422454835;0.5332
21;0.5037199999809265;2.9527085182189943;0.81408;0.237;4.834688414764404;0.5056
22;0.49892000003814696;2.9634312156677245;0.813520000038147;0.3831;3.5109888702392578;0.7151
23;0.5050600000190735;2.9373236195373535;0.8181600000190735;0.3577;3.7258306495666504;0.6707
24;0.5033200000190735;2.9398395364379883;0.817980000038147;0.2837;4.3276392852783205;0.5898
25;0.5034600000190735;2.93320676651001;0.8157800000190735;0.3371;3.887108573150635;0.6454
26;0.5057600000095367;2.923268856201172;0.8162399999809266;0.2838;4.68081040802002;0.5885
27;0.5082000000190735;2.91234097076416;0.820540000038147;0.3488;3.879243927001953;0.6721
28;0.5097799999618531;2.904306389770508;0.819439999961853;0.3961;3.4560264106750487;0.7072
29;0.51192;2.8938564127349853;0.8212199999809265;0.38;3.5150931636810303;0.6928
