epoch;acc;loss;top_k_categorical_accuracy;val_acc;val_loss;val_top_k_categorical_accuracy
0;0.35294;3.402060885772705;0.8693799999809265;0.1068;14.23366012878418;0.9275
1;0.4849399999809265;2.088044658203125;0.925120000038147;0.4326;1.9938981937408446;0.9041
2;0.591500000038147;1.5192809884643554;0.956020000038147;0.5391;1.6959776473999024;0.9227
3;0.6428000000190734;1.3870509159088136;0.9657800000190735;0.2814;2.8821932498931884;0.8375
4;0.690300000038147;1.3252869739151;0.9747600000190735;0.3517;2.3586631572723387;0.8554
5;0.710760000038147;1.295675135192871;0.978559999961853;0.5173;1.8659274452209473;0.9161
6;0.7308200000190734;1.2720152640533446;0.9806;0.4978;1.947612840270996;0.9145
7;0.7365800000190735;1.2687587209701539;0.9813999999809265;0.5535;1.859026886367798;0.9337
8;0.7469600000190735;1.2467470558929443;0.982519999961853;0.5988;1.6944505546569824;0.9357
9;0.7498200000190735;1.2361733644104005;0.9836200000190735;0.5885;1.726957176208496;0.9504
10;0.7550799999809266;1.2292051058197022;0.9839;0.6229;1.5902658645629884;0.965
11;0.7635800000190734;1.20985086517334;0.9850400000190734;0.5386;1.8197658309936524;0.9376
12;0.7639400000190735;1.2069940719604493;0.98548;0.2821;5.267328997802735;0.723
13;0.767159999961853;1.1992955380630492;0.9856000000190734;0.6013;1.6941852882385253;0.9462
14;0.7694999999809266;1.184350277481079;0.98588;0.3857;3.3801062908172606;0.909
15;0.7723400000190734;1.1718631941223145;0.985720000038147;0.6097;1.6199759775161744;0.965
16;0.7776799999809265;1.1514180702972412;0.9866600000190735;0.4311;2.7864027923583983;0.9388
17;0.779399999961853;1.1392224383926393;0.9866800000190735;0.5654;1.7746358793258667;0.9474
18;0.781220000038147;1.1306046908187866;0.986860000038147;0.5421;1.860018416595459;0.9241
19;0.7809799999618531;1.1228729788208007;0.98714;0.5852;1.8782303699493408;0.9074
20;0.7844000000190735;1.10746310131073;0.98698;0.2058;3.933481391906738;0.7453
21;0.7851;1.103488577003479;0.987180000038147;0.5419;2.115443738937378;0.8872
22;0.7835000000190735;1.0992597996139526;0.9874400000190735;0.4289;2.4713559883117675;0.8945
23;0.7867599999809265;1.0816424909973144;0.98774;0.5801;1.7413268047332764;0.914
24;0.7856400000381469;1.0947479636001587;0.98724;0.6713;1.4425519199371337;0.9626
25;0.790480000038147;1.0701480477142333;0.9881;0.4599;2.3818111721038817;0.8742
26;0.78924;1.0717633478546142;0.9878999999809265;0.3383;3.818510943222046;0.6799
27;0.790280000038147;1.0654312784194946;0.988200000038147;0.6581;1.4509948846817016;0.9671
28;0.7941199999809265;1.0510144715118408;0.98808;0.3352;3.608070672607422;0.7523
29;0.7946400000381469;1.0479191997528077;0.9879000000381469;0.3672;2.3314331966400146;0.8178
0;0.8515999999809265;0.849752923488617;0.99334;0.8454;0.8566513061523438;0.9931
1;0.87644;0.7243643686676026;0.99626;0.842;0.8094841135025025;0.9924
2;0.889400000038147;0.6478948346710205;0.99674;0.8224;0.8188986171722412;0.9919
3;0.8960799999809265;0.5947967546844483;0.99672;0.8532;0.7101558317184449;0.9931
4;0.901660000038147;0.5516984491348267;0.99732;0.8218;0.777813518333435;0.9923
5;0.903779999961853;0.5234049717330933;0.9977400000190735;0.8733;0.6131352941513062;0.9954
6;0.906819999961853;0.501255737361908;0.99768;0.8351;0.7249015789031983;0.993
7;0.9111400000190735;0.4830544045257568;0.9980400000190734;0.8658;0.615741876745224;0.9952
8;0.914780000038147;0.46660613246917726;0.99818;0.7987;0.8732816284179687;0.9902
9;0.9149999999809265;0.4591385630989075;0.99822;0.8691;0.5949699256896973;0.9961
10;0.91768;0.4462917967128754;0.99812;0.8711;0.5988661117553711;0.9954
11;0.92042;0.4371202144908905;0.99842;0.8298;0.7543484340667724;0.9832
12;0.9218000000190735;0.4346038765621185;0.99818;0.8268;0.7504987181663513;0.9936
13;0.92176;0.4289268591880798;0.99856;0.8482;0.6814365715980529;0.9929
14;0.92328;0.42486660696029666;0.9986;0.8787;0.5688435240268708;0.9955
15;0.925000000038147;0.42065224769592285;0.99876;0.8626;0.6171392194747924;0.9948
16;0.926800000038147;0.41717325471878053;0.9987;0.8735;0.5912861651420593;0.9955
17;0.928540000038147;0.4128484870529175;0.9985400000190735;0.8443;0.7109362893104553;0.9924
18;0.929779999961853;0.41060738819122317;0.99866;0.8472;0.6864875648498535;0.9925
19;0.9317399999618531;0.4053252135372162;0.99864;0.8481;0.6988042469024658;0.994
20;0.932539999961853;0.4059795144844055;0.99878;0.848;0.7023144119262695;0.9921
21;0.931980000038147;0.40677266511917115;0.99882;0.8645;0.6276884847640991;0.9926
22;0.9329600000190735;0.4042918420791626;0.99872;0.8561;0.6431352409362793;0.9947
23;0.933859999961853;0.40302567295074465;0.99888;0.8522;0.6692122722625733;0.9926
24;0.9357600000190734;0.4006457473754883;0.99892;0.8267;0.7748374782562256;0.9929
25;0.9352599999809265;0.39755030460357665;0.99922;0.8705;0.6307229211807251;0.9936
26;0.935140000038147;0.399286463098526;0.99902;0.7915;0.9141140129566193;0.994
27;0.9370400000190735;0.39685645624160765;0.99918;0.8654;0.6428513687133789;0.994
28;0.93836;0.3914081716918945;0.99928;0.8716;0.6118866571426391;0.9939
29;0.93766;0.3954536745929718;0.99926;0.8448;0.7280415338516235;0.9934
0;0.9581200000190735;0.34242907623291013;0.99964;0.9125;0.48093903074264527;0.9981
1;0.969180000038147;0.308858657579422;0.99972;0.9153;0.4695016085624695;0.998
2;0.9728000000381469;0.29457477382659913;0.99982;0.9167;0.4655806797027588;0.9979
3;0.975739999961853;0.28149735855102537;0.99978;0.9188;0.4636154788970947;0.9981
4;0.9780800000190735;0.27308056580543516;0.99984;0.915;0.47538248615264894;0.998
5;0.980080000038147;0.26421692152023313;0.99982;0.9184;0.47712503490448;0.9983
6;0.981960000038147;0.25619788496017454;0.99984;0.9191;0.4770607225418091;0.9984
7;0.983440000038147;0.2483164591884613;0.99982;0.9161;0.4832952714920044;0.9985
8;0.9848400000190735;0.24203723650932313;0.99998;0.918;0.48035342779159546;0.9981
9;0.984979999961853;0.23734248554229737;0.99988;0.9198;0.47290537662506105;0.9982
10;0.98656;0.231107049202919;0.99992;0.9169;0.4777286154747009;0.9986
11;0.9883600000190735;0.22422674966335296;0.99994;0.9202;0.47457098655700686;0.9985
12;0.98884;0.2210066707277298;0.99994;0.9203;0.4788340991973877;0.9979
13;0.9893;0.21657775054454803;0.99996;0.9169;0.489884436750412;0.9987
14;0.989919999961853;0.21199334100246428;1.0;0.9179;0.4921630618095398;0.9982
15;0.99028;0.2082089423084259;0.99998;0.9186;0.4898801215648651;0.998
16;0.99116;0.20532507179737092;1.0;0.9196;0.47539562549591063;0.9989
17;0.9906800000190735;0.2019189157819748;0.99998;0.9181;0.48484199087619784;0.9987
18;0.99188;0.1979162554883957;0.99994;0.92;0.48344365978240966;0.9986
19;0.9927200000190735;0.19446468319416046;1.0;0.9224;0.4802468128204346;0.9986
20;0.9932800000190735;0.18978283613204955;1.0;0.9162;0.5003267676353454;0.9984
21;0.992420000038147;0.1894860945034027;1.0;0.9209;0.48179453020095825;0.9985
22;0.9931000000190735;0.18532329790115357;1.0;0.9207;0.4833196424484253;0.9986
23;0.9935;0.182435855717659;1.0;0.918;0.4945104274749756;0.9984
24;0.9937400000190735;0.17992723109722136;1.0;0.9187;0.48946656723022464;0.9988
25;0.99432;0.17751655584812165;0.99998;0.9227;0.48890772733688354;0.9983
26;0.99452;0.17450335211277007;1.0;0.9181;0.49710955634117127;0.998
27;0.99418;0.17278041187286378;0.99998;0.9199;0.49112137112617493;0.9984
28;0.9941600000190735;0.17179194173812867;1.0;0.9183;0.4889403455734253;0.9983
29;0.9942400000381469;0.16927080613136292;0.99998;0.9191;0.486417981338501;0.9984
