epoch;acc;loss;val_acc;val_loss
0;0.10032000000476837;3.921080932006836;0.1014;3.669848829650879
1;0.09840000000476837;3.3873842581939697;0.1025;3.1361929607391357
2;0.09896000000476837;2.96083354598999;0.103;2.791348374557495
3;0.10084000000476837;2.6897147219848634;0.099;2.5949352710723876
4;0.10139999999523162;2.534701253967285;0.0966;2.4810797657012937
5;0.0981400000011921;2.4501820738983153;0.1061;2.4211496128082275
6;0.09848000000476838;2.400346833496094;0.1006;2.3817290931701662
7;0.09962000000476837;2.3721993774414063;0.0968;2.365888436126709
8;0.09996000000476837;2.3577891082000733;0.1017;2.347574074172974
9;0.10064000000476837;2.345498017654419;0.0942;2.3438338745117187
