epoch;acc;loss;val_acc;val_loss
0;0.0;0.33866605162620544;0.5;0.32720766961574554
1;0.0;0.3395431488752365;0.0;0.34647582471370697
2;0.0;0.36840467154979706;0.0;0.39564773440361023
0;0.0;0.29407116025686264;0.0;0.25978803634643555
1;0.0;0.29849664866924286;0.0;1.6395790576934814
2;0.0;0.3146848827600479;0.0;0.4977830573916435
0;0.0;0.24703054130077362;0.5;0.21580104529857635
1;0.0;0.22213337570428848;0.0;0.4391753599047661
2;0.0;0.2683408558368683;0.0;0.5360600352287292
0;0.0;0.259439617395401;0.0;0.20597225427627563
1;0.0;0.2742088586091995;0.0;1.2763175666332245
2;0.0;0.27614472061395645;0.5;0.9342267140746117
0;0.0;0.32373344898223877;0.0;0.34887006878852844
1;0.0;0.3391837924718857;0.0;1.4925833344459534
2;0.0;0.34430214762687683;0.0;1.2497839331626892
