epoch;acc;loss;val_acc;val_loss
0;0.01194;111.21050556884765;0.0206;81.13321297607422
1;0.11354000000476837;56.27667188110352;0.1285;42.15843159179688
2;0.16223999999523162;32.95580403564453;0.1616;25.771562353515623
3;0.18688000000476837;20.969212114868164;0.1783;17.508440682983398
4;0.20922000000953675;14.918229562072755;0.2021;13.259985232543945
5;0.22972000000476836;11.84926325592041;0.2182;11.058125120544434
6;0.25105999999046325;10.162845850219727;0.2536;9.67455576171875
7;0.27237999999046325;9.09381362335205;0.2295;9.019379365539551
8;0.2956600000190735;8.326553354797364;0.2758;8.211448999023437
9;0.32388000000953676;7.701882730102539;0.3004;7.65634395904541
10;0.3487799999904633;7.179738790740966;0.3294;7.143208422851562
11;0.37245999999046325;6.725396698913574;0.3349;6.810428010559082
12;0.3939599999809265;6.321443490905762;0.3613;6.452951156616211
13;0.41287999999046326;5.962771173553467;0.3726;6.089903174591065
14;0.4369200000190735;5.629494559326172;0.3913;5.817125091552734
15;0.45853999999046324;5.330946653137207;0.4086;5.524266868591309
16;0.47110000003814695;5.064624928894043;0.409;5.342123431396485
17;0.49219999999046327;4.8030345379638675;0.4117;5.15556280670166
18;0.5071800000190735;4.574140490112304;0.4273;4.915018917846679
19;0.523260000038147;4.362241004638672;0.4646;4.617495301818848
20;0.5362;4.167298797302246;0.4459;4.615513024902344
21;0.5532799999904633;3.9763188571166994;0.4858;4.30671927986145
22;0.564100000038147;3.8113169352722167;0.4802;4.265486010742188
23;0.5785;3.647512763824463;0.5063;3.996293629837036
24;0.5952999999809265;3.4937069664001466;0.5058;3.910655271911621
25;0.6020600000190734;3.3639818380737303;0.4813;4.007379827880859
26;0.6123199999809266;3.2277989364624022;0.498;3.7923682640075684
27;0.62404;3.1128597476196287;0.529;3.5766624046325686
28;0.63366;2.998434161682129;0.5003;3.6769219181060793
29;0.6430999999809265;2.8950645806884765;0.5083;3.6096491065979004
30;0.6521999999618531;2.795180846786499;0.5259;3.422709243774414
31;0.659559999961853;2.6992559786987305;0.5456;3.245184097290039
32;0.668140000038147;2.6125302449035646;0.5601;3.1231574878692627
33;0.6737400000190735;2.5314217474365233;0.5735;3.013386932373047
34;0.6861599999809265;2.450427097015381;0.554;3.0841240173339846
35;0.693339999961853;2.375710100097656;0.5436;3.208266976928711
36;0.7014199999809265;2.3047260653686523;0.5852;2.860207578277588
37;0.705;2.2473249423217774;0.5488;3.0589502826690675
38;0.714419999961853;2.1801115647125244;0.5599;2.883599857711792
39;0.7192399999809265;2.124609715423584;0.556;2.9626683193206786
40;0.7222400000190735;2.076026761398315;0.5868;2.7514720024108885
41;0.731739999961853;2.015789486351013;0.574;2.8277807876586913
42;0.7368999999618531;1.9698116331481934;0.549;2.8739549713134767
43;0.744939999961853;1.9167485542297362;0.5841;2.7338596620559694
44;0.7499000000381469;1.8749526257324218;0.5709;2.7943730987548827
45;0.752;1.8364311740112305;0.5744;2.708162582397461
46;0.757279999961853;1.7974653735733033;0.551;2.9727861724853515
47;0.76804;1.7526680964660644;0.5516;2.943155395889282
48;0.7663;1.7302394414520263;0.5855;2.6376623245239257
49;0.7718799999618531;1.6979807540130616;0.5898;2.6422823196411134
50;0.7786;1.6541302383804322;0.5766;2.686841414642334
51;0.7805199999618531;1.626119946899414;0.6069;2.5143710830688475
52;0.7848599999618531;1.5961939513778687;0.607;2.4966365684509277
53;0.7883800000190735;1.570411466064453;0.5919;2.5223543506622312
54;0.7926400000381469;1.5452388781738282;0.6126;2.4983611713409424
55;0.7915199999809265;1.5283113581085206;0.5623;2.7600752243041993
56;0.8014200000190735;1.4905539742279053;0.5955;2.5084120069503784
57;0.8025000000381469;1.4711285000610352;0.5815;2.6695636894226076
58;0.805679999961853;1.452225124282837;0.6068;2.4913957374572755
59;0.808440000038147;1.4315570217895508;0.626;2.3803650245666503
60;0.8102200000190735;1.4129360691833497;0.6122;2.3934125
61;0.8124999999618531;1.3939567539978028;0.6011;2.5230163768768312
62;0.8139800000190734;1.3760589517211914;0.6148;2.3868735683441162
63;0.8177800000190735;1.3550570191192628;0.6068;2.485916873550415
64;0.8210200000190735;1.3363673168945311;0.6083;2.500648021697998
65;0.81958;1.3320671615219115;0.6025;2.43427045879364
66;0.82614;1.3080844384002686;0.6204;2.442595322418213
67;0.828;1.2982744062805176;0.6143;2.342634228515625
68;0.8258600000190734;1.2911187049865722;0.6033;2.5541414630889894
69;0.82928;1.269539657974243;0.6081;2.4440118156433104
70;0.83206;1.2590483759307862;0.6139;2.3893984523773195
71;0.83274;1.2492666256332396;0.6044;2.3571980052947996
72;0.8355399999809265;1.2336998126220704;0.6075;2.4051249435424804
73;0.8379599999809265;1.228508988571167;0.6146;2.4113128623962403
74;0.8375000000190734;1.2198919582366943;0.605;2.4576686969757082
75;0.841519999961853;1.1978372611236572;0.6273;2.29194582824707
76;0.8427399999809265;1.1915240589141847;0.6166;2.3868802619934084
77;0.842819999961853;1.1825673343658447;0.6171;2.4876570697784426
78;0.8432600000190735;1.1802294775390625;0.591;2.63493680267334
79;0.846879999961853;1.1616157707977295;0.6158;2.433315266799927
80;0.84828;1.15619832862854;0.6131;2.3185955738067627
81;0.8475799999618531;1.1551708624267578;0.6285;2.322971439743042
82;0.8504599999809265;1.141022845134735;0.5954;2.4851097366333006
83;0.85342;1.127948088531494;0.6129;2.3664876209259034
84;0.8521200000190735;1.1294317220306396;0.6177;2.363333302307129
85;0.856879999961853;1.1179830081176758;0.6216;2.3358359958648682
